id;title;description
1;"Marcos Alonso says Chelsea must not lose again as champions cling to title hopes";"The Blues play Roma in the Champions League on Wednesday night."
2;"Florida nursing home in hurricane deaths sued over tragedy";"The family of Mary Luongo, who died in the care of Rehabilitation Center at Hollywood Hills in Florida, have slammed the nursing home after 14 patients died after Hurricane Irma."
3;"$17m 'Glass House' mansion destroyed in California fires";"An iconic home, that cost $17million to build, nicknamed the 'glass house', located in Fairfield on the border of Solano and Napa counties has been destroyed in California fires."
4;"Simon McCoy sarcastically reveals Kate Middleton due date";"Veteran journalist Simon McCoy, 56, struggled to conceal his apathy as he shared the news that Kate and William will welcome their third child in April next year."
5;"Microsoft's flagship Windows 10 computer update available";"The redesign is part of an effort to modernise the operating system of Windows 10 and will be rolled out from today by Redmond-based company Microsoft."
6;"England vs Japan FIFA U17 World Cup LIVE";"England's Young Lions will aim to take another step at the FIFA Under-17 World Cup on Tuesday afternoon when they face Japan in the last-16 in Kolkata, India. ADAM SHERGOLD has it live."
7;"Busty Katie Price displays her fire-breathing skills";"Katie Price, 39, displayed her fire-breathing skills at the photocall for her latest novel Playing With Fire in London on Tuesday."
8;"Israel says no talks with Palestinian govt that includes armed Hamas";"Israel's government decided Tuesday not to negotiate with a Palestinian unity government that includes Hamas if the Islamist movement does not disarm,..."
9;"Couple who had sex in Scarborough Domino’s walk to court";"The couple who romped in a Domino's pizza shop as staff worked on the other side of the counter walked laughing from court yesterday after escaping jail and all the costs of the case."
10;"Craig Shakespeare sacked by Leicester City";"EXCLUSIVE BY MATT LAWTON AND MATT BARLOW: Sportsmail understands Craig Shakespeare was called to a meeting with the club hierarchy on Tuesday."
11;"Could this explain why boys more likely to have autism?";"Figures suggest four boys are diagnosed with autism to every one girl. Experts at the University of Iowa found male mice with a genetic cause show signs of being on the spectrum - but females didn't."
12;"Goodell, Baldwin write congress for sentencing reform";"NFL commissioner Roger Goodell and Seattle Seahawks receiver Doug Baldwin have penned a joint open letter to congress in support of the Sentencing Reform and Corrections Act of 2017."
13;"DWTS' Sasha Pieterse reveals she has lost 37lbs";"The beauty, who revealed in September that she had gained 70lbs  from Polycystic Ovary Syndrome, claimed on Monday evening that she is lighter on the scale. She has lost 37lbs."
14;"Florida woman dragged from her SUV after hitting a toddler";"Neallie Junior Saxon III, 22 months old, was struck and killed after chasing a ball into the street in Florida Sunday, which prompted his family to chase the SUV that hit him and attack the driver."
15;"Tess Holliday hits back at people who blamed her for rape";"The model, 32, joined the 'me too' movement on Monday with an Instagram post, telling her 1.5 million followers she felt ashamed and scared and blamed herself after being raped in the past."
16;"Ashley Cole reveals he's in contract talks with LA Galaxy";"Former Premier League star Ashley Cole is targeting a new deal at LA Galaxy despite the franchise failing to make this season's MLS play-offs."
17;"Juliette Lewis looks red hot in gown at Elle Women event";"The raven-haired beauty was nominated for an Oscar when she starred with Robert De Niro in 1991's Cape Fear. And she took as her date to the Academy Awards her beau Brad Pitt."
18;"Britain summons Chinese ambassador after UK activist denied Hong Kong entry";"LONDON, Oct 17 (Reuters) - Britain said on Tuesday it had  summoned the Chinese ambassador in recent days to express its  concern that a British rights..."
19;"Heartbroken Charlotte Dawson slams Frankie Cocozza";"The Celebs Go Dating final left viewers thinking Charlotte and Frankie had found love, as they rooted for their romance. But the daughter of the late Les Dawson has revealed that they are no longer talking."
20;"Baby licks her lips as syrup pours on chicken and waffles";"An adorable video shows a baby girl at a restaurant in Orangeburg, New York, in front of a huge plate of chicken and waffles bigger than her head. Her eyes open wide and she licks her lips expectantly."
21;"Bishop would have been questioned on child sex allegations";"Officers investigating claims of historic child sexual abuse against former Bishop of Chester Hubert Victor Whitsey (pictured) say he would have faced questioning if he was alive today."
22;"New Bank of England deputy says not ready to vote for rate hike";"By David Milliken and William SchombergLONDON, Oct 17 (Reuters) - The Bank of England's new deputy  governor distanced himself from the central bank's..."
23;"Twelve wounded in bomb attack on police vehicle in Turkey's Mersin province -TV";"ANKARA, Oct 17 (Reuters) - Twelve people were wounded when a  bomb hit a police vehicle in Turkey's southern Mersin province  on Tuesday, broadcaster NTV..."
24;"Sprouts may make aggressive breast cancers treatable";"Researchers from the University of Alabama in Birmingham found compounds in cruciferous vegetables and the herbal drink 'turn off' cancerous genes that influence tumor treatment response."
25;"Obese Brazilian teacher drops to trim 130lbs";"Camila Coelho Nery, 29, of Brazil suffered with obesity, using food as an emotional crutch for her parents' abandonment. But two years ago she decided to change, dropping to 130lbs."
26;"Images show the alluring dances of WWI spy Mata Hari";"A series of postcards from the early 1900s show Mata Hari the stage name adopted by Dutch-born Margaretha Zelle - posing in a variety of vibrant colours for a series of postcards sold in Paris."
27;"How Crimewatch kept us safe for 33 years";"The BBC has decided to axe Crimewatch after 33 years on the air despite some major successes solving brutal and horrific crimes including catching the killers of James Bulger."
28;"Gordon Ramsay reveals remorse over David Dempsey's death";"British chef Gordon Ramsay, 50, reveals in an ITV documentary aiming to expose the underbelly of the drug industry how he is still plagued by remorse over the death of his close friend."
29;"Jeyaraj Vadiveloo on how many healthy years we have left";"Jeyaraj Vadiveloo, a professor at the University of Connecticut, led a team developing an online calculator to assess a person's 'healthy life expectancy'. Try it here."
30;"Real Madrid defender Marcelo accused of tax evasion";"Spanish prosecutors have accused Marcelo of defrauding local tax authorities of nearly half a million euros. Cristiano Ronaldo is among the players to have been investigated."
31;"Lawmaker: Mascot wrong to rally for kneeling cheerleaders";"KENNESAW, Ga. (AP) - The student who wears the owl mascot costume at a Georgia public university where five cheerleaders knelt during the national anthem had..."
32;"Johnson & Johnson tops Street 3Q forecasts, hikes forecast";"Higher spending across the board drove Johnson & Johnson's third-quarter profit down 12 percent, despite a big sales jump fueled by recent acquisitions, hot..."
33;"'Scaramucci Post' apologizes for Holocaust Twitter poll";"The former White House communications director is in a new kind of hot water after his mysterious 'Scaramucci Post' asked whether 'less than one million' or 'more than 5 million' Jews were killed."
34;"Facebook buys anonymous teen compliment app TBH";"NEW YORK (AP) - Facebook has bought TBH, a teen-focused app that lets people give anonymous compliments to each other through polls and messages.Facebook on..."
35;"Child star Sophia Grace embarks on her pop career";"Sophia Grace Brownlee, 14, from Essex has just released a new song titled Why U Mad. She rose to fame when she was just eight years old after she appeared on The Ellen Show in America."
36;"Scott Disick packs on the PDA with girlfriend Sofia Richie";"Their controversial romance has raised eyebrows since they went public last month. But Scott proved he wasn't concerned by critics as he wore a bold hoodie on their date."
37;"Men may be at-risk of death when receiving blood from mums";"Researchers from Sanquin Research in Leiden, the Netherlands, found the most common cause of such deaths is transfusion-related acute lung injury. Women are unaffected by these transfusions."
38;"Cheryl on caring for Bear and strains of social media";"Cheryl has finally opened up about their eight-month-old tot in a new Vogue interview, revealing she looks after him without a nanny and cherishes the 'precious' moments alone."
39;"Bayern Munich v Celtic talking points";"Celtic tackle one of Europe´s heavyweights."
40;"Viking textile has 'no Arabic at all' slams expert";"Dr Stephennie Mulder of the University of Texas in Austin said the Kufic script did not occur until 500 years after the Vikings and said the error stems from a 'serious problem of dating'."
41;"German man gets jammed between moving train and platform";"The distressing footage, in which the man is spun in crushing circles between the train and the platform, was shared by the police of the German state of North Rhine-Westphalia."
42;"Carnage after Taliban militants strike Afghan police";"Afghan policeman Sayed Agha heard a ""boom"" before the shockwaves from twin truck and Humvee bomb blasts outside the police headquarters on Tuesday threw him..."
43;"Attorney: Convicted tax schemer is too fat for prison";"An attorney for a 72-year-old man who was convicted of a $10 million scheme that peddled offshore tax havens to medical professionals claims his client is too old and fat to go to prison."
44;"Demi Lovato indulges in fast food cravings at Taco Bell";"The 25-year-old Confident hitmaker was spotted indulging in her late night fast food demons as she dined at a Taco Bell in Beverly Hills in the wee hours of Tuesday morning."
45;"Furious parents slam Harrods for 'ruining Christmas'";"Parents were left fuming after a delay in Harrods’ email system meant their children missed out on a trip to the London department store's iconic Christmas grotto."
46;"Rita Ora makes a low key arrival at London Heathrow";"Rita Ora put on a decidedly more quiet display as she arrived at London's Heathrow airport on Tuesday."
47;"Wife dumps husband's clothes on Katie Price's car bonnet";"The wife dumped her husband's clothes on the pink bonnet of Katie Price's pink Range Rover in a Primark shopping bag and booted him out after he spent the night 'partying' with the star."
48;"Sexist Sixties adverts used to sell household products";"These are some of the outrageous and sexist adverts which were once used by famous companies to sell their goods, relying on out dated and offensive messages."
49;"Tennis-Sharapova loses to Rybarikova in Kremlin Cup return";"By Gabrielle Tetrault-FarberMOSCOW, Oct 17 (Reuters) - Maria Sharapova lost 7-6(3) 6-4 to Slovakia's Magdalena Rybarikova at the Kremlin Cup on Tuesday in..."
50;"UnitedHealth sees growth in 2018, a year of changes by Trump";"By Caroline HumerOct 17 (Reuters) - UnitedHealth Group Inc, the  largest U.S. health insurer,  said earnings will grow 13 to 16 percent in 2018 as medical ..."
51;"Disgruntled employees reveal elaborate workplace pranks";"These employees have taken their mischievous sense of humour to new heights, staging a series of elaborate workplace pranks and wreaking havoc on the office."
52;"The Latest: Evacuations drop to 34,000 in wine country";"SANTA ROSA, Calif. (AP) - The Latest on California wildfires (all times local):8:25 p.m.Authorities say roughly 34,000 people remain evacuated from wildfires..."
53;"Jose Mourinho admits he will not end career at Man United";"Mourinho publicly flirted with Paris Saint-Germain in an interview in France at the weekend, sparking speculation that he could he could be tempted away from Old Trafford."
54;"Blac Chyna didn't have Tyga's number before son's birthday";"The former couple were spotted in the same company last weekend for their boy King Cairo's fifth birthday at the Six Flags Magic Mountain theme park in California"
55;"Man United's Nemanja Matic reveals Benfica influence";"Nemanja Matic moved to Benfica from Chelsea, where he had struggled for appearances. While with the Portuguese giants he developed into a highly-coveted defensive midfielder."
56;"Middlesex lose appeal over relegation to Division Two";"Middlesex’s relegation to Division Two of the County Championship has been confirmed after their appeal against a two-point penalty for a slow over rate was thrown out."
57;"G2 Esports hint at they will pick up a PUBG team";"It appears G2 esports will be the latest esport organisation to pick up an esport team in the ever growing, PLAYERUNKNOWN'S BATTLEGROUNDS.
PUBG is one of the most watched games on Twitch."
58;"Seven hours sleep maximises sleep quality";"Researchers from the Third Military Medical University in Chongqing, China, found getting more than nine hours shut eye reduces the stability of sperm's DNA by 40% by hindering testosterone."
59;"Fears grow for missing Leah Taylor from Kingston upon Hull";"Leah Taylor was last seen with pal Leah Smith, 12, leaving Marvell College in Kingston upon Hull at 12.10pm on Monday, October 16."
60;"Colourblind man sees colour for the first time";"The latest sensation to sweep the internet will leave you undeniably touched, as people who have never seen red, experience the colour for the first time, like 30-year-old Ross Morum."
61;"Struggling Leicester sack manager Craig Shakespeare";"It was Shakespeare´s first job in management after stepping in as caretaker manager in February."
62;"Las Vegas security guard has 'vanished'";"Jesus Campos is yet to be interviewed since being fired upon by Stephen Paddock on October 1 while on the 32nd floor of the Mandalay Bay hotel during the catastrophic Las Vegas shooting."
63;"Katie Price 'publicly slams' Kieran Hayler";"Katie, 39, is said to have slammed the one-time club stripper while watching the charitable bout at London’s Lancaster Hotel – an event he also attended."
64;"Warwickshire aristocrat rejects £2m for field for housing";"David Ryland-Smith, 56, said he turned down £2million for a field on his Warwickshire estate for an affordable housing project because it would 'spoil the view' of historic stables."
65;"Tennis-Luxembourg Championship women's singles round 1 results";"Oct 17 (Gracenote) - Results from the Luxembourg Championship Women's Singles Round 1 matches on Tuesday   Pauline Parmentier (France) beat Monica Niculescu..."
66;"Seven miners killed, one missing in coal mine collapse in Turkey";"DIYARBAKIR, Turkey, Oct 17 (Reuters) - Seven miners were  killed and another was missing after part of a coal mine in  Turkey's southeastern province of..."
67;"One in nine American men has oral HPV reveal new figures";"Researchers from the University of Florida found men were more likely to get oral HPV than women. Actor Michael Douglas said in 2013 that he got throat cancer from performing oral sex on his wife."
68;"Fall of Islamic State group's 'capital': 5 things to know";"BAGHDAD (AP) - U.S.-backed forces in northern Syria say they have captured Raqqa, once the seat of power for the Islamic State group, on Tuesday after a..."
69;"Sienna Miller enjoys day with ex Tom Sturridge and Marlow";"Sienna Miller, 35, looked in good spirits as she joined ex Tom, 31 and their 5-year-old daughter for a family day out in New York."
70;"How climate change shaped societies in ancient Egypt";"Researchers from Yale University examined the climate and societal impacts in Egypt of a sequence of volcanic eruptions spanning the past 2,500 years."
