id;title;description
1;"Bishop would have been questioned on child sex allegations";"Officers investigating claims of historic child sexual abuse against former Bishop of Chester Hubert Victor Whitsey (pictured) say he would have faced questioning if he was alive today."
2;"Colourblind man sees colour for the first time";"The latest sensation to sweep the internet will leave you undeniably touched, as people who have never seen red, experience the colour for the first time, like 30-year-old Ross Morum."
3;"Heartbroken Charlotte Dawson slams Frankie Cocozza";"The Celebs Go Dating final left viewers thinking Charlotte and Frankie had found love, as they rooted for their romance. But the daughter of the late Les Dawson has revealed that they are no longer talking."
4;"Truck driver pleads guilty in deadly Texas migrants case";"An American who drove an unventilated truck packed with undocumented migrants across the US-Mexico border, resulting in 10 deaths, will be sentenced in..."
5;"Google to offer stepped-up security for 'high risk' users";"Google said Tuesday it would offer stronger online security for ""high risk"" users who may be frequent targets of online attacks.The US technology titan said..."
6;"Child star Sophia Grace, 14, embarks on her pop career";"Sophia Grace Brownlee, 14, from Essex has just released a new song titled Why U Mad. She rose to fame when she was just eight years old after she appeared on The Ellen Show in America."
7;"'Scaramucci Post' apologizes for Holocaust Twitter poll";"The former White House communications director is in a new kind of hot water after his mysterious 'Scaramucci Post' asked whether 'less than one million' or 'more than 5 million' Jews were killed."
8;"Scarlett Moffatt is still dating boyfriend Luke Crodden";"Scarlett Moffatt has confirmed  that she is still in romantic bliss with Luke Crodden in a gushing new interview, calling her beau her 'best friend.'"
9;"One in nine American men has oral HPV, new figures reveal";"Researchers from the University of Florida found men were more likely to get oral HPV than women. Actor Michael Douglas said in 2013 that he got throat cancer from performing oral sex on his wife."
10;"Boy frozen when soldier father returned from Syria";"The little boy who froze with emotion when his soldier father returned home had forgotten what he looked like and even asked a stranger 'Are you my daddy?', his mother has revealed."
11;"Busty Katie Price displays her fire-breathing skills";"Katie Price, 39, displayed her fire-breathing skills at the photocall for her latest novel Playing With Fire in London on Tuesday."
12;"Tess Holliday hits back at people who blamed her for rape";"The model, 32, joined the 'me too' movement on Monday with an Instagram post, telling her 1.5 million followers she felt ashamed and scared and blamed herself after being raped in the past."
13;"Burglars drove over Naval officer after Chorlton break-in";"Ryan Gibbons, 29, also admitted aggravated vehicle taking over Mike Samwell's Audi S3 car, which was taken from outside his house in south Manchester earlier this year."
14;"G2 Esports hint at they will pick up a PUBG team";"It appears G2 esports will be the latest esport organisation to pick up an esport team in the ever growing, PLAYERUNKNOWN'S BATTLEGROUNDS.
PUBG is one of the most watched games on Twitch."
15;"Images show the alluring dances of WWI spy Mata Hari";"A series of postcards from the early 1900s show Mata Hari the stage name adopted by Dutch-born Margaretha Zelle - posing in a variety of vibrant colours for a series of postcards sold in Paris."
16;"The cures of yesteryear including cocaine for toothache";"These and many more weird and wacky remedies have been outlined in a new book, Quackery: A Brief History Of The Worst Ways To Cure Everything, written by a Nebraska doctor."
17;"Warwickshire aristocrat rejects £2m for field for housing";"David Ryland-Smith, 56, said he turned down £2million for a field on his Warwickshire estate for an affordable housing project because it would 'spoil the view' of historic stables."
18;"Craig Shakespeare sacked by Leicester City";"EXCLUSIVE BY MATT LAWTON AND MATT BARLOW: Sportsmail understands Craig Shakespeare was called to a meeting with the club hierarchy on Tuesday."
19;"Simon McCoy sarcastically reveals Kate Middleton due date";"Veteran journalist Simon McCoy, 56, struggled to conceal his apathy as he shared the news that Kate and William will welcome their third child in April next year."
20;"Prosecutors say Massachusetts man was Islamic State plotter";"By Scott MaloneBOSTON, Oct 17 (Reuters) - Federal prosecutors on Tuesday  said a Massachusetts man accused of plotting to attack police  and behead a..."
21;"Attorney: Convicted tax schemer is too fat for prison";"An attorney for a 72-year-old man who was convicted of a $10 million scheme that peddled offshore tax havens to medical professionals claims his client is too old and fat to go to prison."
22;"Jess Cunningham reveals childrens' pain over dad's death";"Jessica Cunningham told Loose Women she had never seen her children cry the way they currently are over the loss of their father. Alistair Eccles was found dead in August in Burnley at the age of 35."
23;"Woman who hit and killed boy dragged from SUV and beaten";"Neallie Junior Saxon III, 22 months old, was struck and killed after chasing a ball into the street in Florida Sunday, which prompted his family to chase the SUV that hit him and attack the driver."
24;"Kylie Jenner shares first glimpse of 'growing bump'";"The reality star, 20, shared a clip of that gave a glimpse of what appears to be her expanding torso. Kylie's cleavage even appeared noticeably large as she wore a grey sports bra."
25;"Lionel Messi's kids train with Barcelona";"There are already a number of sons of famous players plying their trade around the football world. It makes complete sense that Barcelona would look to add Lionel Messi's children to the list."
26;"Cheryl on caring for Bear and strains of social media";"Cheryl has finally opened up about their eight-month-old tot in a new Vogue interview, revealing she looks after him without a nanny and cherishes the 'precious' moments alone."
27;"Sexist Sixties adverts used to sell household products";"These are some of the outrageous and sexist adverts which were once used by famous companies to sell their goods, relying on out dated and offensive messages."
28;"Passenger says Delta crew stopped her from singing anthem";"A Georgia physician says Delta crew members stopped her from singing the national anthem aboard a plane that was carrying the body of a fallen Green Beret on Saturday."
29;"Chris Froome expects tricky all-round test in 2018 Tour de France";"The route for next year´s Tour de France was unveiled on Tuesday."
30;"Real Madrid defender Marcelo accused of tax evasion";"Spanish prosecutors have accused Marcelo of defrauding local tax authorities of nearly half a million euros. Cristiano Ronaldo is among the players to have been investigated."
31;"Chelsea v Roma talking points";"Chelsea have won two from two in the Champions League this season but have suffered back-to-back Premier League defeats."
32;"Michael Fassbender and Alicia Vikander's green wedding";"The showbiz power couple, who have yet to confirm they married, tied the knot at Agroturismo Can Marti, an eco-hotel in Ibiza, Spain. 'All the food they ate was local cuisine,' a source told The Sun."
33;"Man United manager Jose Mourinho hits out at Dejan Lovren";"Jose Mourinho has hit back at Dejan Lovren after the Liverpool defender accused Romelu Lukaku of deliberately kicking him in the face during Manchester United's goalless draw at Anfield."
34;"Jose Mourinho admits he will not end career at Man United";"Mourinho publicly flirted with Paris Saint-Germain in an interview in France at the weekend, sparking speculation that he could he could be tempted away from Old Trafford."
35;"Ashley Graham attends Golden Heart Awards in New York City";"Stars flocked to the 11th Annual Golden Heart Awards benefiting God's Love We Deliver in New York City this Monday. Ashley Graham flattered her figure in a flowing leaf-patterned split skirt."
36;"Airbus takes control of Bombardier CSeries in rebuff to U.S. threat";"By Allison Lampert and Tim HepherMONTREAL/TOULOUSE, France, Oct 17 (Reuters) - Airbus  has agreed to take a majority stake in Bombardier's  troubled CSeries..."
37;"Barca boss Valverde still revered in mad house of Olympiakos";"By Richard MartinBARCELONA, Oct 17 (Reuters) - Ernesto Valverde was seen as an unglamorous choice as Barcelona coach in place of Luis Enrique yet in winning..."
38;"FOREX-Dollar bolstered by potential Fed nominee";"By Gertrude Chavez-DreyfussNEW YORK, Oct 17 (Reuters) - The dollar rose to a one-week  high against a basket of currencies on Tuesday on speculation  that..."
39;"Kurds abandon territory in the face of Iraq government advance";"By Ahmed Rasheed and Mustafa MahmoudBAGHDAD/KIRKUK, Oct 17 (Reuters) - The Baghdad government  recaptured territory from Kurds across the breadth of northern..."
40;"Man gets jammed between a moving train and the platform";"The distressing footage, in which the man is spun in crushing circles between the train and the platform, was shared by the police of the German state of North Rhine-Westphalia."
41;"The Latest: Medics say 25 Kurds killed in Kirkuk fighting";"KIRKUK, Iraq (AP) - The Latest on developments in Iraq, day after Iraqi forces took back the disputed city of Kirkuk, forcing Kurdish fighters to leave (all..."
42;"Securities officials probing S. Carolina nuke plant fiasco";"COLUMBIA, S.C. (AP) - Securities regulators are investigating the failure of a nuclear reactor construction project in South Carolina, according to a release..."
43;"Trump issues warning to McCain after senator's tough speech";"WASHINGTON (AP) - President Donald Trump on Tuesday issued a warning shot after Republican Sen. John McCain questioned ""half-baked, spurious nationalism"" in..."
44;"Greek officials say Athens coast clean-up nearly finished";"ATHENS, Greece (AP) - Greek authorities say they have finished cleaning up a section of Athens coastline polluted by a large oil slick more than a month ago,..."
45;"Texas man rescued after stuck in manhole for six days";"Jason Courtney, 40, of Houston, was rescued from a 15-foot-deep manhole (pictured) after being stuck for six days. He suffered a broken foot and underwent surgery Monday."
46;"Sienna Miller enjoys day with ex Tom Sturridge and Marlow";"Sienna Miller, 35, looked in good spirits as she joined ex Tom, 31 and their 5-year-old daughter for a family day out in New York."
47;"England vs Japan FIFA U17 World Cup LIVE";"England's Young Lions will aim to take another step at the FIFA Under-17 World Cup on Tuesday afternoon when they face Japan in the last-16 in Kolkata, India. ADAM SHERGOLD has it live."
48;"PM meets Juncker: Brexit talks to `accelerate´ but little sign of progress shown";"Following a working dinner in Brussels the pair said their meeting had been ""constructive and friendly""."
49;"Trauma Cleaner Sandra Pankhurst reveals shocking photos";"Mounds of rotting food and toilets overflowing with faeces - just some of the confronting scenes Melbourn's 'trauma cleaner' Sandra Pankhurst has been met with."
50;"Charity worker 'stabbed to death over iPhone'";"The family of a charity worker who was murdered for his iPhone have told of their agony after he was 'stabbed through the heart' last night by two moped-riding thugs  in Little Venice, London."
51;"Oklahoma man denies raping his stepdaughter 'wife'";"Henry Piette (pictured in court in Oklahoma on Thursday)  faces child abuse and rape charges for holding Rosalynn McGinnis captive in Mexico for 19 years until she escaped last year."
52;"Men may be at-risk of death when receiving blood";"Researchers from Sanquin Research in Leiden, the Netherlands, found the most common cause of such deaths is transfusion-related acute lung injury. Women are unaffected by these transfusions."
53;"How many healthy years do YOU have left?";"Jeyaraj Vadiveloo, a professor at the University of Connecticut, led a team developing an online calculator to assess a person's 'healthy life expectancy'. Try it here."
54;"Bodyform advert is first to show blood on sanitary towel";"The advert begins with blood being poured onto the sanitary towel to show its 'ultra-absorbing core.' The sanitary towel brand was the first in the UK to feature red blood in a campaign last year."
55;"U.S. policy on Iran has little impact on oil industry -minister";"LONDON, Oct 17 (Reuters) - U.S. President Donald Trump's  decision not to certify an international nuclear deal with  Tehran has little implication for the..."
56;"FCC chairman rejects Trump suggestion on broadcast licenses";"WASHINGTON, Oct 17 (Reuters) - The chairman of the Federal  Communications Commission said Tuesday the agency does not have  authority to revoke broadcast..."
57;"Qatar Gulf Cup boycott is over Kuwait's FIFA ban, UAE FA says";"By Alexander CornwellDUBAI, Oct 17 (Reuters) - A Qatar-hosted soccer tournament for Arab nations should not go ahead unless Kuwait's FIFA ban is lifted, the..."
58;"Volvo unveils Polestar model in China, looks to rival Tesla 3";"By Adam JourdanSHANGHAI, Oct 17 (Reuters) - Volvo Cars and its Chinese  parent have unveiled their first Polestar high performance  electric car and pledged..."
59;"GRAINS-U.S. soy falls again as weather improves; wheat weak";"By Mark WeinraubCHICAGO, Oct 17 (Reuters) - U.S. soybean futures fell for  the second day in a row on Tuesday, pressured by improving  weather for harvest in..."
60;"EMERGING MARKETS-Brazil stocks fall on political woes; Embraer drops";"By Bruno Federowski      SAO PAULO, Oct 17 (Reuters) - Brazilian stocks fell on  Tuesday as lawmakers debated whether to put President Michel  Temer on trial..."
61;"Harness ""natural enemies"" to fight pests and protect crops - World Food Prize winner";"By Alex WhitingROME, Oct 17 (Thomson Reuters Foundation) - African farmers  can lose up to half their harvest to pests, so storing their  crops in..."
62;"Model who pulled off £1.2m property scam down to last £375";"Laylah De Cruz, 32, who got her mother Dianne Moorcroft, 63, to pose as a 91-year-old millionaire to pull off an 'audacious' £1.2million property scam has only £375 left, a court heard."
63;"Authorities seeks answers from Air Berlin over tower flyby";"BERLIN (AP) - German air safety officials say they've asked bankrupt carrier Air Berlin to explain why one of its pilots aborted his landing at Duesseldorf..."
64;"The Latest: NTSB says Benadryl impaired balloon operator";"AUSTIN, Texas (AP) - The Latest on a federal investigation into a 2016 Texas hot air balloon crash that killed 16 people, the worst disaster of its kind in..."
65;"UnitedHealth beats 3Q forecasts, helped by Optum growth";"UnitedHealth Group's third-quarter earnings soared 26 percent to beat Wall Street expectations as the nation's largest health insurer sold more coverage to..."
66;"Fears grow for missing Leah Taylor from Kingston upon Hull";"Leah Taylor was last seen with pal Leah Smith, 12, leaving Marvell College in Kingston upon Hull at 12.10pm on Monday, October 16."
67;"911 calls show Irma chaos as nursing home residents died";"In the calls, employees of the Rehabilitation Center in Hollywood, Florida, can be heard struggling to remember its phone number, describing symptoms and relaying information."
68;"Struggling Leicester sack manager Craig Shakespeare";"It was Shakespeare´s first job in management after stepping in as caretaker manager in February this year."
69;"Self-driving cars could ease traffic, but increase sprawl";"BOSTON (AP) - A new study inspired by Boston's early experiments with self-driving cars finds that the technology could ease congestion, but might also lead..."
70;"Man who stabbed refugee and cut off his penis convicted of murder";"The murder took place hours after Barry, who has paranoid schizophrenia, was released from a psychiatric hospital."
71;"Brexit standoff over EU's demands for bigger divorce bill";"The Foreign Secretary vowed defiance as tensions rose again despite the PM's attempt to win support from Jean-Claude Juncker over dinner last night."
72;"Irish rugby stars arrive at court to face rape claims";"Paddy Jackson, 25, and Stuart Olding, 24, are accused of raping the same woman at a property in south Belfast, during June last year. Both men deny all charges against them."
73;"Man is hit by a big window which falls from a Moscow flat";"These are the amazing scenes as a man escaped relatively unscathed after he was struck on the head by the large pane of glass in Moscow which went on to hit the baby's pram who escaped without injury."
74;"How climate change shaped societies in ancient Egypt";"Researchers from Yale University examined the climate and societal impacts in Egypt of a sequence of volcanic eruptions spanning the past 2,500 years."
75;"Plymouth wife 'threw kettle of water over husband's lover";"Monika Fourie threw scolding water from a cup and a kettle over love rival Hannah Stokes after walking in on her and her Royal Marine husband Wouter, at their marital home in Plymouth, Devon."
76;"'Yes' campaign soars in the gay marriage polls";"The campaign in favour of gay marriage has surged in the polls, leaving the 'No' camp leaving three in every four remaining votes to win the survey."
77;"Man claims fellow passenger urinated on him on United jet";"Daniel Card claimed a fellow passenger exposed himself and began urinating on the United Airlines flight as it prepared to take off from Los Angeles International Airport, pictured."
78;"Newcastle fans hope Mike Ashley sale can help progress";"It was announced on Monday evening that the billionaire businessman wants a sale before Christmas as he prepares to end his controversial decade-long stay on Tyneside."
79;"Laura Dern poses with her two kids and mother Diane Ladd";"The leggy wonder was seen in a very rare image with her mother, acting legend Diane Ladd, 81, as well as the two children she had with singer Ben Harper."
80;"Brittany Packnett reveals how to put on your bra";"Activist and writer Brittany Packnett alerted her Twitter followers after reading a label on a new bra from San Francisco based ThirdLove that indicated the correct way to don a bra."
81;"Roman Polanski's rape victim Samantha Geimer forgives him";"Samantha Geimer, now 54, said her rape at the hands of Roman Polanski in 1977 'did not affect me greatly' and she feels more traumatized by the ongoing court case against him."
82;"'Yes' vote clearly ahead in same-sex marriage plebiscite";"Although the result won't be officially announced until November 15, a 'snap poll' by Roy Morgan revealed that 61.5 per cent of Aussies have voted Yes in the same-sex marriage plebiscite."
83;"Green and clean but is your electric car free of slavery?";"By Belinda GoldsmithLONDON, Oct 17 (Thomson Reuters Foundation) - Electric  vehicles are often labelled the ""green cars"" of the future but  rising demand for..."
84;"China's CEFC eyes big league with Rosneft oil offtake deal";"By Chen Aizhu and Olga YagovaBEIJING/MOSCOW, Oct 17 (Reuters) - As part of its recent  $9.1 billion investment in Russian oil giant Rosneft,  little-known..."
85;"UnitedHealth sees growth in 2018, a year of changes by Trump";"By Caroline Humer and Divya GroverOct 17 (Reuters) - UnitedHealth Group Inc, the  largest U.S. health insurer,  said earnings will grow 13 to 16 percent in..."
86;"Scott Disick packs on the PDA with girlfriend Sofia Richie";"Their controversial romance has raised eyebrows since they went public last month. But Scott proved he wasn't concerned by critics as he wore a bold hoodie on their date."
87;"Leicester sack manager Shakespeare - reports";"LONDON, Oct 17 (Reuters) - Leicester City manager Craig Shakespeare was sacked on Tuesday four months after he was put in permanent charge of the Premier..."
88;"CANADA STOCKS-TSX advances as Bombardier leaps on Airbus deal, financials rise";"TORONTO, Oct 17 (Reuters) - Canada's main stock index rose  on Tuesday, led by a more than 20 percent surge in Bombardier  Inc shares and higher financial..."
89;"Queen Letizia of Spain stuns in a floral chiffon frock";"The Spanish queen consort, 45, channelled autumnal chic in a green chiffon dress paired with berry suede shoes as she met with representatives from medical and agricultural organisations."
90;"Man poses with deer for Instagram snaps in London";"Witnesses said the man appeared to be 'trying to get photos for Instagram' as he posed with a herd of up to 50 deer at Richmond Park, London, during the animals' volatile rutting season."
